sample_id
IMPALA_1
IMPALA_10
IMPALA_1027
IMPALA_1071
IMPALA_1072
IMPALA_1086
IMPALA_1136
IMPALA_1137
IMPALA_1148
IMPALA_1162
IMPALA_1165
IMPALA_1166
IMPALA_117
IMPALA_1203
IMPALA_1205
IMPALA_1209
IMPALA_1210
IMPALA_1221
IMPALA_1224
IMPALA_1239
IMPALA_1249
IMPALA_1259
IMPALA_127
IMPALA_1286
IMPALA_1287
IMPALA_1291
IMPALA_130
IMPALA_1314
IMPALA_1344
IMPALA_1379
IMPALA_1390
IMPALA_1440
IMPALA_157
IMPALA_158
IMPALA_204
IMPALA_205
IMPALA_207
IMPALA_22
IMPALA_229
IMPALA_235
IMPALA_236
IMPALA_252
IMPALA_259
IMPALA_264
IMPALA_28
IMPALA_287
IMPALA_299
IMPALA_30
IMPALA_344
IMPALA_35
IMPALA_356
IMPALA_363
IMPALA_405
IMPALA_407
IMPALA_422
IMPALA_428
IMPALA_429
IMPALA_436
IMPALA_444
IMPALA_488
IMPALA_489
IMPALA_509
IMPALA_515
IMPALA_52
IMPALA_523
IMPALA_529
IMPALA_535
IMPALA_557
IMPALA_559
IMPALA_561
IMPALA_581
IMPALA_585
IMPALA_591
IMPALA_600
IMPALA_613
IMPALA_616
IMPALA_637
IMPALA_638
IMPALA_639
IMPALA_643
IMPALA_655
IMPALA_656
IMPALA_657
IMPALA_663
IMPALA_664
IMPALA_666
IMPALA_671
IMPALA_675
IMPALA_681
IMPALA_685
IMPALA_691
IMPALA_692
IMPALA_70
IMPALA_707
IMPALA_714
IMPALA_717
IMPALA_726
IMPALA_729
IMPALA_757
IMPALA_760
IMPALA_772
IMPALA_777
IMPALA_779
IMPALA_782
IMPALA_785
IMPALA_786
IMPALA_791
IMPALA_793
IMPALA_798
IMPALA_799
IMPALA_800
IMPALA_802
IMPALA_829
IMPALA_830
IMPALA_837
IMPALA_855
IMPALA_903
IMPALA_961
IMPALA_963
IMPALA_969
IMPALA_991
IMPALA_992
